DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2015-10-02 16:23:20",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:23:20",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:23:20",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:23:20",ERROR,0,"Errro in Registraion!",63,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:36:12",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:36:12",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:36:12",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:43:43",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:43:43",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:43:43",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:47:52",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:47:52",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:47:52",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:48:02",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:48:02",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 16:48:02",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:03:44",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:03:44",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:03:44",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:18:24",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:18:24",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:18:24",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:20:13",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:20:13",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 17:20:13",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 20:29:44",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 20:29:44",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 20:29:44",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 20:40:26",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 20:40:26",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 20:40:26",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:03:58",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:03:58",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:03:58",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:16",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:16",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:16",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:25",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:25",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:25",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:41",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:41",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:04:41",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:11:16",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:11:16",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:11:16",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:17:51",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:17:51",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:17:51",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:23:56",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:23:56",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:23:56",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:24:33",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:24:33",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:24:33",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:25:20",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:25:20",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:25:20",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:27:47",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:27:47",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:27:47",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:30:08",INFO,--,"The program starts here.",24,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:30:08",WARNING,--,"This problem can affect the program logic",25,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:30:08",DEBUG,DB,"select * from table",27,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:31:11",INFO,--,"The program starts here.",53,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:31:11",WARNING,--,"This problem can affect the program logic",54,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:31:11",DEBUG,DB,"select * from table",56,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:31:40",INFO,--,"The program starts here.",53,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:31:40",WARNING,--,"This problem can affect the program logic",54,"C:\wamp\www\DemoRest\admin.php"
"2015-10-02 21:31:40",DEBUG,DB,"select * from table",56,"C:\wamp\www\DemoRest\admin.php"
